group,rank,team,slug,club,club_slug,region,team_depth,team_depth_label,cpi,movement,games_tracked,latest_tournament,latest_record,ranking_flags,manual_review_note,issue_types,recommended_action,same_group_possible_duplicate_matches,same_club_other_teams_in_group,quiksilver_old_rank,quiksilver_new_rank,quiksilver_weight,logo,team_page,club_page,manual_decision,approved_canonical_team,approved_canonical_club,notes
14U Girls,35,Lamorinda B,lamorinda-b-14u-girls,Lamorinda,lamorinda,East Bay,2,secondary/B-level,1868.8,0,16,Pacific Zone JO Qualifier,3-4,team_depth_guardrail|manual_review_14u_girls_same_team_alias_merge|manual_review_14u_girls_depth_guardrail|manual_review_lamorinda_b_gold_alias,Merged alias evidence from Lamorinda Gold into Lamorinda B for 14U Girls v3.,manual_review_note_present|possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,Lamorinda A #4 (lamorinda-a-14u-girls); Lamorinda C #63 (lamorinda-c-14u-girls),Lamorinda A #4 depth=1; Lamorinda C #63 depth=3,,,,assets/logos/canonical/lamorinda.webp,team.html?team=lamorinda-b-14u-girls,club.html?club=lamorinda,,,,
14U Girls,36,Asphalt Green,asphalt-green-14u-girls,Asphalt Green,asphalt-green,Out of State,1,primary/A-level,1861.2,0,6,Futures Super Finals,4-2,,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/asphalt-green.webp,team.html?team=asphalt-green-14u-girls,club.html?club=asphalt-green,,,,
14U Girls,37,Mavericks,mavericks-14u-girls,Mavericks,mavericks,Peninsula / San Francisco,1,primary/A-level,1853.5,0,6,Futures Super Finals,5-1,,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/mavericks.webp,team.html?team=mavericks-14u-girls,club.html?club=mavericks,,,,
14U Girls,38,PAC Premier,pac-premier-14u-girls,PAC Premier,pac-premier,Orange County,1,primary/A-level,1845.9,0,16,US Club Championships,2-3,,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/pac-premier.webp,team.html?team=pac-premier-14u-girls,club.html?club=pac-premier,,,,
14U Girls,39,Thunder,thunder-14u-girls,Thunder,thunder,Out of State,1,primary/A-level,1838.3,0,6,US Club Championships,2-4,,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/thunder.webp,team.html?team=thunder-14u-girls,club.html?club=thunder,,,,
14U Girls,40,Clovis A,clovis-a-14u-girls,Clovis,clovis-red,Central Valley,1,primary/A-level,1830.7,0,16,US Club Championships,0-4-1,,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,Clovis B #73 (clovis-b-14u-girls),Clovis B #73 depth=2,,,,assets/logos/canonical/clovis-red.webp,team.html?team=clovis-a-14u-girls,club.html?club=clovis-red,,,,
14U Girls,41,Sharks,sharks-14u-girls,Sharks,sharks,Peninsula / San Francisco,1,primary/A-level,1823.1,0,11,Pacific Zone JO Qualifier,1-5,,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/sharks.webp,team.html?team=sharks-14u-girls,club.html?club=sharks,,,,
14U Girls,42,Praetorian,praetorian-14u-girls,Praetorian,praetorian,Central Valley,1,primary/A-level,1815.6,0,5,Central Zone JO Qualifier,2-3,,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/praetorian.webp,team.html?team=praetorian-14u-girls,club.html?club=praetorian,,,,
14U Girls,43,Big Valley,big-valley-14u-girls,Big Valley,big-valley,Central Valley,1,primary/A-level,1800.4,0,17,Futures Super Finals,3-3,,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/big-valley.webp,team.html?team=big-valley-14u-girls,club.html?club=big-valley,,,,
14U Girls,44,American River,american-river-14u-girls,American River,american-river,Sacramento,1,primary/A-level,1792.9,0,11,Futures Super Finals,2-4,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/american-river.webp,team.html?team=american-river-14u-girls,club.html?club=american-river,,,,
14U Girls,45,Central Coast,central-coast-14u-girls,Central Coast,central-coast,Central Coast,1,primary/A-level,1785.3,0,5,Central Zone JO Qualifier,1-4,,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/central-coast.webp,team.html?team=central-coast-14u-girls,club.html?club=central-coast,,,,
14U Girls,46,Gold Coast,gold-coast-14u-girls,Gold Coast,gold-coast,Central Coast,1,primary/A-level,1777.7,0,11,CCA JO Qualifier,2-4-1,,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/gold-coast.webp,team.html?team=gold-coast-14u-girls,club.html?club=gold-coast,,,,
14U Girls,47,Seaside,seaside-14u-girls,Seaside,seaside,Central Coast,1,primary/A-level,1770.2,0,11,US Club Championships,0-5,,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/seaside.webp,team.html?team=seaside-14u-girls,club.html?club=seaside,,,,
14U Girls,48,Back Bay,back-bay-14u-girls,Back Bay,back-bay,Orange County,1,primary/A-level,1762.7,0,18,SOPAC JO Qualifier,1-3,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/back-bay.webp,team.html?team=back-bay-14u-girls,club.html?club=back-bay,,,,
14U Girls,49,Elite,elite-14u-girls,Elite,elite,Los Angeles,1,primary/A-level,1755.1,0,19,SOPAC JO Qualifier,3-3,,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/elite.webp,team.html?team=elite-14u-girls,club.html?club=elite,,,,
14U Girls,50,ECA,eca-14u-girls,ECA,sd-eca,San Diego,1,primary/A-level,1747.6,0,13,San Diego County Cup,3-2,,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/sd-eca.webp,team.html?team=eca-14u-girls,club.html?club=sd-eca,,,,
14U Girls,51,North Irvine,north-irvine-14u-girls,North Irvine,north-irvine,Orange County,1,primary/A-level,1740.1,0,33,SOPAC JO Qualifier,1-3,manual_review_14u_girls_same_team_alias_merge,Merged alias evidence from North Irvine Au into North Irvine for 14U Girls v3.,manual_review_note_present,,,,,,,assets/logos/canonical/north-irvine.webp,team.html?team=north-irvine-14u-girls,club.html?club=north-irvine,,,,
14U Girls,52,NorCal,norcal-14u-girls,NorCal,norcal,Peninsula / San Francisco,1,primary/A-level,1732.5,0,14,Futures Super Finals,1-4,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/norcal.webp,team.html?team=norcal-14u-girls,club.html?club=norcal,,,,
14U Girls,53,La Jolla United,la-jolla-united-14u-girls,La Jolla United,la-jolla-united,San Diego,1,primary/A-level,1725.0,0,22,Futures Super Finals,2-3,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/la-jolla-united.webp,team.html?team=la-jolla-united-14u-girls,club.html?club=la-jolla-united,,,,
14U Girls,54,SET,set-14u-girls,SET,set,Orange County,1,primary/A-level,1717.5,0,31,SOPAC JO Qualifier,2-4,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/set.webp,team.html?team=set-14u-girls,club.html?club=set,,,,
14U Girls,55,Honolulu Water Polo,honolulu-water-polo-14u-girls,Honolulu Water Polo,honolulu-water-polo,Out of State,1,primary/A-level,1672.5,0,8,KAP7 International,2-2,lower_division_ceiling_review,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/honolulu-water-polo.webp,team.html?team=honolulu-water-polo-14u-girls,club.html?club=honolulu-water-polo,,,,
14U Girls,56,Innis Arden,innis-arden-14u-girls,Innis Arden,innis-arden,Out of State,1,primary/A-level,1642.5,0,9,San Diego County Cup,3-2,,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/innis-arden.webp,team.html?team=innis-arden-14u-girls,club.html?club=innis-arden,,,,
14U Girls,57,Newport White,newport-white-14u-girls,Newport Beach,newport-beach,Orange County,2,secondary/B-level,1627.6,0,9,SOPAC JO Qualifier,2-2,team_depth_guardrail|manual_review_14u_girls_depth_guardrail,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,Newport Blue #11 (newport-blue-14u-girls),Newport Blue #11 depth=1,,,,assets/logos/canonical/newport-beach.webp,team.html?team=newport-white-14u-girls,club.html?club=newport-beach,,,,
14U Girls,58,SBWPC B,sbwpc-b-14u-girls,Santa Barbara,santa-barbara,Central Coast,2,secondary/B-level,1612.6,0,5,CCA JO Qualifier,2-3,team_depth_guardrail|manual_review_14u_girls_depth_guardrail,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,SBWPC A #7 (sbwpc-a-14u-girls),SBWPC A #7 depth=1,,,,assets/logos/canonical/santa-barbara.webp,team.html?team=sbwpc-b-14u-girls,club.html?club=santa-barbara,,,,
14U Girls,59,PAC Orange,pac-orange-14u-girls,PAC Orange,pac-orange,Orange County,1,primary/A-level,1605.1,0,8,Holiday Cup,2-2,,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/pac-orange.webp,team.html?team=pac-orange-14u-girls,club.html?club=pac-orange,,,,
14U Girls,60,LOWPO,lowpo-14u-girls,LOWPO,lowpo,Out of State,1,primary/A-level,1590.2,0,6,San Diego County Cup,3-3,lower_division_ceiling_review,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/lowpo.webp,team.html?team=lowpo-14u-girls,club.html?club=lowpo,,,,
14U Girls,61,San Diego Shores White,san-diego-shores-white-14u-girls,San Diego Shores,sd-shores,San Diego,2,secondary/B-level,1582.8,0,5,San Diego County Cup,2-3,team_depth_guardrail|lower_division_ceiling_review|manual_review_14u_girls_depth_guardrail,,possible_duplicate_team_name|same_club_depth_collision|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,San Diego Shores Black #5 (san-diego-shores-black-14u-girls); San Diego Shores Gold #21 (san-diego-shores-gold-14u-girls),San Diego Shores Black #5 depth=1; San Diego Shores Gold #21 depth=2,,,,assets/logos/canonical/sd-shores.webp,team.html?team=san-diego-shores-white-14u-girls,club.html?club=sd-shores,,,,
14U Girls,62,SHAQ,shaq-14u-girls,SHAQ,shaq,Peninsula / San Francisco,1,primary/A-level,1567.8,0,11,Pacific Zone JO Qualifier,3-4,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/shaq.webp,team.html?team=shaq-14u-girls,club.html?club=shaq,,,,
14U Girls,63,Lamorinda C,lamorinda-c-14u-girls,Lamorinda,lamorinda,East Bay,3,tertiary/C-level,1560.4,0,9,San Diego County Cup,3-2,team_depth_guardrail|lower_division_ceiling_review|manual_review_14u_girls_depth_guardrail,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,Lamorinda A #4 (lamorinda-a-14u-girls); Lamorinda B #35 (lamorinda-b-14u-girls),Lamorinda A #4 depth=1; Lamorinda B #35 depth=2,,,,assets/logos/canonical/lamorinda.webp,team.html?team=lamorinda-c-14u-girls,club.html?club=lamorinda,,,,
14U Girls,64,Patriot Red,patriot-red-14u-girls,Patriot,patriot,Orange County,2,secondary/B-level,1545.5,0,15,SOPAC JO Qualifier,1-5,team_depth_guardrail|manual_review_14u_girls_depth_guardrail,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,Patriot Navy #1 (patriot-navy-14u-girls),Patriot Navy #1 depth=1,,,,assets/logos/canonical/patriot.webp,team.html?team=patriot-red-14u-girls,club.html?club=patriot,,,,
14U Girls,65,Mid Valley,mid-valley-14u-girls,Mid Valley,mid-valley,Los Angeles,1,primary/A-level,1530.6,0,7,CCA JO Qualifier,2-4-1,,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/mid-valley.webp,team.html?team=mid-valley-14u-girls,club.html?club=mid-valley,,,,
14U Girls,66,La Premier/Pac,la-premier-pac-14u-girls,La Premier/Pac,la-premier,Los Angeles,1,primary/A-level,1523.1,0,6,Futures Super Finals,2-4,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/la-premier.webp,team.html?team=la-premier-pac-14u-girls,club.html?club=la-premier,,,,
14U Girls,67,SoCal,socal-14u-girls,SoCal,socal,Orange County,1,primary/A-level,1500.8,0,20,US Club Championships,2-3,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/socal.webp,team.html?team=socal-14u-girls,club.html?club=socal,,,,
14U Girls,68,Northwest,northwest-14u-girls,Northwest,northwest,Out of State,1,primary/A-level,1493.3,0,10,San Diego County Cup,2-4,,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/northwest.webp,team.html?team=northwest-14u-girls,club.html?club=northwest,,,,
14U Girls,69,Los Alamitos Garnet,los-alamitos-garnet-14u-girls,Los Alamitos,los-alamitos,Orange County,2,secondary/B-level,1485.9,0,5,San Diego County Cup,1-4,manual_review_14u_girls_name_normalized|manual_review_14u_girls_depth_guardrail,Normalized display name from Los Al Garnet.,lower_depth_above_primary_same_club|manual_review_note_present|same_club_multiple_teams_in_group,Confirm A/B/C/color team hierarchy and canonical naming. Confirm whether this lower-depth team should rank above the club primary team.,,Los Alamitos #71 depth=1,,,,assets/logos/canonical/los-alamitos.webp,team.html?team=los-alamitos-garnet-14u-girls,club.html?club=los-alamitos,,,,
14U Girls,70,South Bay United,south-bay-united-14u-girls,South Bay United,south-bay-united,Los Angeles,1,primary/A-level,1471.0,0,8,Holiday Cup,0-4,,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/south-bay-united.webp,team.html?team=south-bay-united-14u-girls,club.html?club=south-bay-united,,,,
14U Girls,71,Los Alamitos,los-alamitos-14u-girls,Los Alamitos,los-alamitos,Orange County,1,primary/A-level,1463.6,0,12,Futures Super Finals,2-4,,,same_club_multiple_teams_in_group,Confirm A/B/C/color team hierarchy and canonical naming.,,Los Alamitos Garnet #69 depth=2,,,,assets/logos/canonical/los-alamitos.webp,team.html?team=los-alamitos-14u-girls,club.html?club=los-alamitos,,,,
14U Girls,72,Foothill Black,foothill-black-14u-girls,Foothill Club,foothill-club,Orange County,2,secondary/B-level,1426.5,0,12,CCA JO Qualifier,0-5-1,team_depth_guardrail|manual_review_14u_girls_depth_guardrail,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,Foothill Red #23 (foothill-red-14u-girls),Foothill Red #23 depth=1,,,,assets/logos/canonical/foothill-club.webp,team.html?team=foothill-black-14u-girls,club.html?club=foothill-club,,,,
14U Girls,73,Clovis B,clovis-b-14u-girls,Clovis,clovis-red,Central Valley,2,secondary/B-level,1419.0,0,5,Central Zone JO Qualifier,1-4,team_depth_guardrail|manual_review_14u_girls_depth_guardrail,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,Clovis A #40 (clovis-a-14u-girls),Clovis A #40 depth=1,,,,assets/logos/canonical/clovis-red.webp,team.html?team=clovis-b-14u-girls,club.html?club=clovis-red,,,,
14U Girls,74,CV Premier,cv-premier-14u-girls,CV Premier,cv-premier,San Diego,1,primary/A-level,1411.6,0,13,San Diego County Cup,1-4,manual_review_14u_girls_same_team_alias_merge,Merged alias evidence from Chula Vista Premier Ag into CV Premier for 14U Girls v3.,manual_review_note_present|official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/cv-premier.webp,team.html?team=cv-premier-14u-girls,club.html?club=cv-premier,,,,
14U Girls,75,South Coast White,south-coast-white-14u-girls,South Coast,south-coast,Orange County,2,secondary/B-level,1396.8,0,5,CCA JO Qualifier,1-4,team_depth_guardrail|manual_review_14u_girls_depth_guardrail,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,South Coast Red #20 (south-coast-red-14u-girls),South Coast Red #20 depth=1,,,,assets/logos/canonical/south-coast.webp,team.html?team=south-coast-white-14u-girls,club.html?club=south-coast,,,,
14U Girls,76,Trilogy,trilogy-14u-girls,Trilogy,trilogy,San Diego,1,primary/A-level,1389.3,0,6,San Diego County Cup,1-5,lower_division_ceiling_review,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/trilogy.webp,team.html?team=trilogy-14u-girls,club.html?club=trilogy,,,,
14U Girls,77,CCWP,ccwp-14u-girls,CCWP,ccwp,Central Coast,1,primary/A-level,1381.9,0,5,San Diego County Cup,0-5,lower_division_ceiling_review,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/ccwp.webp,team.html?team=ccwp-14u-girls,club.html?club=ccwp,,,,
16U Boys,1,Patriot,patriot-16u-boys,Patriot,patriot,Orange County,1,primary/A-level,2150.0,1,7,Futures Super Finals,2-1,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,possible_duplicate_team_name|quiksilver_evidence_review|same_club_depth_collision|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,Patriot Red #61 (patriot-red-16u-boys),Patriot Red #61 depth=1,,,,assets/logos/canonical/patriot.webp,team.html?team=patriot-16u-boys,club.html?club=patriot,,,,
16U Boys,2,Imperial,imperial-16u-boys,Imperial,imperial,Inland Empire,1,primary/A-level,2015.6,-1,19,Quiksilver Cup,8 of 18,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/imperial.webp,team.html?team=imperial-16u-boys,club.html?club=imperial,,,,
16U Boys,3,Vanguard,vanguard-16u-boys,Vanguard,vanguard,Orange County,1,primary/A-level,2009.9,6,5,Quiksilver Cup,3 of 18,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,possible_duplicate_team_name|quiksilver_evidence_review|same_club_depth_collision|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,Vanguard Blue #25 (vanguard-blue-16u-boys); Vanguard Silver #53 (vanguard-silver-16u-boys); Vanguard White #76 (vanguard-white-16u-boys),Vanguard Blue #25 depth=2; Vanguard Silver #53 depth=3; Vanguard White #76 depth=3,,,,assets/logos/canonical/vanguard.webp,team.html?team=vanguard-16u-boys,club.html?club=vanguard,,,,
16U Boys,4,San Diego Shores,san-diego-shores-16u-boys,San Diego Shores,san-diego-shores,San Diego,1,primary/A-level,1985.2,6,5,Quiksilver Cup,2 of 18,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,possible_duplicate_team_name|quiksilver_evidence_review|same_club_depth_collision|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,San Diego Shores Gold #82 (san-diego-shores-gold-16u-boys),San Diego Shores Gold #82 depth=1,,,,assets/logos/canonical/san-diego-shores.webp,team.html?team=san-diego-shores-16u-boys,club.html?club=san-diego-shores,,,,
16U Boys,5,Mission,mission-16u-boys,Mission,mission,Orange County,1,primary/A-level,1940.6,-2,11,Quiksilver Cup,6 of 18,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/mission.webp,team.html?team=mission-16u-boys,club.html?club=mission,,,,
16U Boys,6,Stanford A,stanford-a-16u-boys,Stanford,stanford,Peninsula / San Francisco,1,primary/A-level,1934.7,-1,7,Futures Super Finals,2-0,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,Stanford B #42 (stanford-b-16u-boys),Stanford B #42 depth=2,,,,assets/logos/canonical/stanford.webp,team.html?team=stanford-a-16u-boys,club.html?club=stanford,,,,
16U Boys,7,Berkeley WPC,berkeley-wpc-16u-boys,Berkeley WPC,berkeley-wpc,East Bay,1,primary/A-level,1926.9,-1,5,Quiksilver Cup,5 of 18,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,official_logo_needed|quiksilver_evidence_review,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/berkeley-wpc.webp,team.html?team=berkeley-wpc-16u-boys,club.html?club=berkeley-wpc,,,,
16U Boys,8,Trojan,trojan-16u-boys,Trojan,trojan,Los Angeles,1,primary/A-level,1918.8,-4,13,Quiksilver Cup,11 of 18,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,Trojan B #26 (trojan-b-16u-boys); Trojan C #79 (trojan-c-16u-boys),Trojan B #26 depth=2; Trojan C #79 depth=3,,,,assets/logos/canonical/trojan.webp,team.html?team=trojan-16u-boys,club.html?club=trojan,,,,
16U Boys,9,ORWP A,orwp-a-16u-boys,ORWP,orwp,Los Angeles,1,primary/A-level,1914.6,-2,10,CCA JO Quals,3-1,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/orwp.webp,team.html?team=orwp-a-16u-boys,club.html?club=orwp,,,,
16U Boys,10,LA Premier,la-premier-16u-boys,LA Premier,la-premier,Los Angeles,1,primary/A-level,1884.3,-2,6,Quiksilver Cup,15 of 18,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/la-premier.webp,team.html?team=la-premier-16u-boys,club.html?club=la-premier,,,,
16U Boys,11,Lamorinda A,lamorinda-a-16u-boys,Lamorinda,lamorinda,East Bay,1,primary/A-level,1880.3,0,10,Futures Super Finals,1-1,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/lamorinda.webp,team.html?team=lamorinda-a-16u-boys,club.html?club=lamorinda,,,,
16U Boys,12,Newport Beach,newport-beach-16u-boys,Newport Beach,newport-beach,Orange County,1,primary/A-level,1868.3,0,6,Futures Super Finals,0-2,manual_review_low_game_count,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/newport-beach.webp,team.html?team=newport-beach-16u-boys,club.html?club=newport-beach,,,,
16U Boys,13,South Coast,south-coast-16u-boys,South Coast,south-coast,Orange County,1,primary/A-level,1865.7,0,12,Futures Super Finals,2-2,,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,South Coast B #51 (south-coast-b-16u-boys); South Coast C #77 (south-coast-c-16u-boys),South Coast B #51 depth=2; South Coast C #77 depth=3,,,,assets/logos/canonical/south-coast.webp,team.html?team=south-coast-16u-boys,club.html?club=south-coast,,,,
16U Boys,14,SBWPC A,sbwpc-a-16u-boys,SBWPC,sbwpc,Central Coast,1,primary/A-level,1855.1,0,9,Futures Super Finals,2-3,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/sbwpc.webp,team.html?team=sbwpc-a-16u-boys,club.html?club=sbwpc,,,,
16U Boys,15,CIU Gold,ciu-gold-16u-boys,CIU,ciu,Central Coast,2,secondary/B-level,1817.5,10,13,Quiksilver Cup,1 of 18,manual_review_depth_guardrail|manual_review_top25_depth_team|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,possible_duplicate_team_name|quiksilver_evidence_review|same_club_depth_collision|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,CIU Blue #63 (ciu-blue-16u-boys),CIU Blue #63 depth=2,,,,assets/logos/canonical/ciu.webp,team.html?team=ciu-gold-16u-boys,club.html?club=ciu,,,,
16U Boys,16,Carlsbad,carlsbad-16u-boys,Carlsbad,carlsbad,San Diego,1,primary/A-level,1811.4,-1,9,Futures Super Finals,3-2,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/carlsbad.webp,team.html?team=carlsbad-16u-boys,club.html?club=carlsbad,,,,
16U Boys,17,Rose Bowl,rose-bowl-16u-boys,Rose Bowl,rose-bowl,Los Angeles,1,primary/A-level,1809.2,-1,12,Quiksilver Cup,9 of 18,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,Rose Bowl B #57 (rose-bowl-b-16u-boys),Rose Bowl B #57 depth=2,,,,assets/logos/canonical/rose-bowl.webp,team.html?team=rose-bowl-16u-boys,club.html?club=rose-bowl,,,,
16U Boys,18,San Clemente,san-clemente-16u-boys,San Clemente,san-clemente,Orange County,1,primary/A-level,1792.7,-1,31,Futures Super Finals,3-1,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/san-clemente.webp,team.html?team=san-clemente-16u-boys,club.html?club=san-clemente,,,,
16U Boys,19,Greenwich,greenwich-16u-boys,Greenwich,greenwich,Out of State,1,primary/A-level,1785.9,-1,5,Futures Super Finals,3-2,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/greenwich.webp,team.html?team=greenwich-16u-boys,club.html?club=greenwich,,,,
